scope,group,diagnostic,source_column,spearman_rho,n
match,J03WQQ,selected_y_span,selected_attackers_y_span_m,-0.02610727382765624,6289
match,J03WR9,selected_y_span,selected_attackers_y_span_m,-0.03183514905516212,6556
overall,ALL,ball_activity,ball_recent_path_m,-0.02669079460117763,44752
match,J03WMX,ball_activity,ball_recent_path_m,-0.040249272700128104,6946
match,J03WN1,ball_activity,ball_recent_path_m,0.008473363479704572,5434
match,J03WOH,ball_activity,ball_recent_path_m,-0.05009042999062623,6115
match,J03WOY,ball_activity,ball_recent_path_m,-0.043652877664138785,6342
match,J03WPY,ball_activity,ball_recent_path_m,-0.0040603603225298,7070
match,J03WQQ,ball_activity,ball_recent_path_m,-0.02025135304523688,6289
match,J03WR9,ball_activity,ball_recent_path_m,-0.035353354410699006,6556
overall,ALL,focal_depth,focal_own_goal_depth_m,0.004417757407073166,44752
match,J03WMX,focal_depth,focal_own_goal_depth_m,0.015971811193270322,6946
match,J03WN1,focal_depth,focal_own_goal_depth_m,0.029381002809446385,5434
match,J03WOH,focal_depth,focal_own_goal_depth_m,0.0028805630254287095,6115
match,J03WOY,focal_depth,focal_own_goal_depth_m,0.03951432454658614,6342
match,J03WPY,focal_depth,focal_own_goal_depth_m,0.03358390425275044,7070
match,J03WQQ,focal_depth,focal_own_goal_depth_m,-0.038309787660889376,6289
match,J03WR9,focal_depth,focal_own_goal_depth_m,-0.05018478520176556,6556
overall,ALL,focal_lateral_position,focal_y_m,0.00037367679113278583,44752
match,J03WMX,focal_lateral_position,focal_y_m,-0.028858294347451796,6946
match,J03WN1,focal_lateral_position,focal_y_m,0.006034389492567183,5434
match,J03WOH,focal_lateral_position,focal_y_m,-0.015271001629229255,6115
match,J03WOY,focal_lateral_position,focal_y_m,0.02653954328030335,6342
match,J03WPY,focal_lateral_position,focal_y_m,-0.017767522996512516,7070
match,J03WQQ,focal_lateral_position,focal_y_m,0.04020419889050416,6289
match,J03WR9,focal_lateral_position,focal_y_m,-0.0005122501573011712,6556
